,x,y,t,vitesse_v,angle_v,cap,twa,polaire
18,-69.57831256586458,-42.246624891148066,1593478776.025966,4.588019635040648,96.69499758345714,55.382623032158506,41.31237455129866,8.393741770525109
19,-69.42005755693806,-42.35586856179333,1593482376.025966,6.68535772199336,92.98505743884297,133.4057836180845,40.42072617924151,10.909669201183139
20,-69.25271783964628,-42.19759125710534,1593485976.025966,5.308373555762346,114.52305217992551,151.39337976932273,36.87032758939722,8.179178275637394
21,-69.1699728148011,-42.04586786038876,1593489576.025966,4.226335922181068,150.69942830653207,94.46296437231331,56.23646393421876,9.862204742134686
22,-68.953009306419,-42.028933567298964,1593493176.025966,4.831275217354366,169.4861606326839,95.21125578346386,74.27490484922004,11.811764742325504
23,-68.69138224194955,-42.00507181585037,1593496776.025966,6.017917591917549,178.41724198973495,96.7124441413867,81.70479784834822,13.921158371155192
24,-68.38433775086148,-41.968934768541025,1593500376.025966,7.064594973364828,176.76945000376327,89.2564587256067,87.51299127815656,14.993166602593721
25,-68.04821787544309,-41.97329692284122,1593503976.025966,6.847465648767234,172.85402763530357,85.53196182274968,87.32206581255389,14.786854186491407
26,-67.7181657767681,-41.99908733810864,1593507576.025966,6.714569715541333,150.88952435699616,75.64663475275194,75.24288960424423,14.117706601200359
27,-67.41164678294071,-42.077522162846705,1593511176.025966,8.33730509867847,118.8309088800907,77.98481655778602,40.846092322304685,12.23365521857837
28,-67.13436856186001,-42.13653627129927,1593514776.025966,10.336388008995039,105.03702047861739,66.82263318865131,38.21438728996611,11.82864380778273
29,-66.87525537453024,-42.247471187297876,1593518376.025966,11.615047722169365,94.58503115474974,126.5106142599293,31.925583105179555,9.810059178338555
30,-66.65809360645198,-42.086717665708356,1593521976.025966,10.590736393572858,96.29478388927703,127.54225602157618,31.24747213229915,9.001085613812881
31,-66.45966528944584,-41.93422562404568,1593525576.025966,9.023445685575158,102.50379320879571,138.88026468962727,36.376471480831526,10.62896482830124
32,-66.30239230583808,-41.75406552567999,1593529176.025966,6.819263554085281,116.88825806602375,71.62634532742288,45.26191273860087,11.841585274388423
33,-66.05146122124093,-41.83741105759533,1593532776.025966,6.356810313386321,129.1389969645624,74.03977224753532,55.099224717027084,12.56367922262157
34,-65.77819894408289,-41.915562512055146,1593536376.025966,6.764230350594031,145.62775850120153,90.0,55.62775850120153,12.751677081819095
35,-65.49259304735286,-41.915562512055146,1593539976.025966,8.088153998027947,159.68451055520683,96.72179334195368,62.96271721325314,13.903189167107296
36,-65.18931649995376,-41.87981875268902,1593543576.025966,8.997909223163147,165.82924087040266,79.48353229929307,86.34570857110958,16.21509361949512
37,-64.83218920882565,-41.94611455923575,1593547176.025966,9.560423957118468,167.53955082193144,81.77346454571261,85.76608627621886,16.37470844837646
38,-64.4666816692685,-41.998957804856126,1593550776.025966,8.989293667890028,175.05064066891134,91.48658429241732,83.56405637649402,15.99548329575337
39,-64.10920638801852,-41.989680744279426,1593554376.025966,9.620697166427666,174.83158160679534,82.53349960612786,92.29808200066748,16.86088054152105
40,-63.73478047508617,-42.038752154858805,1593557976.025966,11.311033243021825,175.00919166363974,82.53919321118354,92.4699984524562,17.961314226304488
41,-63.334970872137646,-42.09110988243423,1593561576.025966,13.171325830656729,177.71206765594462,81.03636233115435,96.67570532479027,19.56092463906628
42,-62.90242882865783,-42.15933644438606,1593565176.025966,14.744074528337825,179.47239397030114,83.3037076473745,96.16868632292665,20.918723313696933
43,-62.434150630536955,-42.21431576927952,1593568776.025966,16.08426735555863,181.67744025721896,83.30947597468196,98.367964282537,22.39275746699711
44,-61.93172474860993,-42.27325300585708,1593572376.025966,17.011564772408097,185.20634966943015,81.06173020431419,104.14461946511597,23.543353766317324
45,-61.40738998002077,-42.35572048620682,1593575976.025966,19.58512451339729,183.74186604465842,78.03610512091416,105.70576092374426,25.813430702501776
46,-60.84013752994359,-42.47592016064751,1593579576.025966,20.363056082831346,184.95561667345976,67.76344704512002,117.19216962833974,26.497535531999766
47,-60.3167779503632,-42.68988884320328,1593583176.025966,19.441158768752032,186.58887474606837,70.27723501124848,116.31163973481989,25.90216230283326
48,-59.79093989458738,-42.87840187169406,1593586776.025966,18.77798744697045,183.6121813056833,76.60719119310903,107.00499011257426,25.253986067254836
49,-59.239275022467766,-43.00975381548932,1593590376.025966,17.4913615021824,192.1716599854446,74.32079148666634,117.85086849877825,24.32594298734914
50,-58.72258181739124,-43.15478743421737,1593593976.025966,16.25724716597422,198.28639763677177,70.4141815300427,127.87221610672907,23.502165093165846
51,-58.24750812179998,-43.32382108232019,1593597576.025966,14.493602442862882,191.64162812365169,83.4272101128617,108.21441801078998,21.236645697933703
52,-57.76505053272192,-43.37941115332112,1593601176.025966,13.966490567727831,190.53887659832313,82.6968832604723,107.84199333785082,20.60745125518745
53,-57.29808522274156,-43.439256607870774,1593604776.025966,14.743145923849157,189.74066805750357,68.07591130008637,121.6647567574172,21.77275576668542
54,-56.856752455817364,-43.61688681231281,1593608376.025966,14.881641083521966,194.4143643811789,81.98963948960647,112.42472489157242,21.826182363593965
55,-56.36265239205972,-43.68641916040036,1593611976.025966,15.230295682669952,195.14877584143147,65.68358180769866,129.4651940337328,22.53423474587444
56,-55.940782497894205,-43.877046272848474,1593615576.025966,15.71400904073555,194.28906291249677,77.57184354792878,116.717219364568,22.842103618343906
57,-55.43543914596574,-43.98841358476052,1593619176.025966,15.945935781486805,197.52586066743442,84.95153541781679,112.57432524961763,23.112757383966624
58,-54.903993683084096,-44.035362044443644,1593622776.025966,16.35676382283291,196.5669954632662,80.57631499042219,115.99068047284402,23.461636781003723
59,-54.374410020342026,-44.123258986550724,1593626376.025966,16.5067644236439,198.99457736774647,82.78613608740335,116.20844128034312,23.579390463850505
60,-53.835707443199965,-44.1914453829745,1593629976.025966,16.406605119339133,203.94447805326655,87.1296762123759,116.81480184089065,23.496704694006034
61,-53.29101297355492,-44.218755574660506,1593633576.025966,16.952497033430475,204.49580454208353,87.8489970705304,116.64680747155313,23.92676117398306
62,-52.735606815762495,-44.23961648035376,1593637176.025966,17.40752953254856,203.53449771840752,79.13333089489589,124.40116682351163,24.220275618852206
63,-52.18746810708989,-44.34484069961589,1593640776.025966,17.512712360609807,205.99729810351886,69.97901596624848,136.01828213727038,23.888970794364656
64,-51.71865739607266,-44.515668312828524,1593644376.025966,18.095046432667242,207.98450479125276,68.43334669584442,139.55115809540834,23.990244816727888
